cod_clube,designacao
0,"Belenenses"
1,"FCPorto"
2,"SCBraga"
3,"Rio Ave"
4,"SCP"
5,"GDChaves"
6,"Marítimo"
7,"SLB"
8,"Boavista"
9,"Moreirense"
